t,x1,y1,x2,y2,x3,y3,x4,y4
15897600,1128124.057,3103286.756,-1.493130679e+11,-8920583287,4.77251891e+10,-9.861571387e+10,-2.82929313e+10,2.238684697e+11
15984000,1121816.222,3123577.016,-1.491595837e+11,-1.148956612e+10,5.038920599e+10,-9.726087098e+10,-3.037504758e+10,2.235867041e+11
16070400,1115467.949,3143683.846,-1.489619523e+11,-1.405514746e+10,5.301523318e+10,-9.583269677e+10,-3.245454348e+10,2.232856511e+11
16156800,1109084.309,3163607.507,-1.487202517e+11,-1.661656983e+10,5.560126963e+10,-9.43322297e+10,-3.453123929e+10,2.229653344e+11
16243200,1102670.349,3183348.393,-1.48434573e+11,-1.917307763e+10,5.814534117e+10,-9.276056189e+10,-3.660495551e+10,2.226257794e+11
16329600,1096231.085,3202907.036,-1.481050201e+11,-2.172391738e+10,6.064550192e+10,-9.111883857e+10,-3.867551286e+10,2.222670134e+11
16416000,1089771.499,3222284.101,-1.477317098e+11,-2.426833795e+10,6.309983569e+10,-8.940825738e+10,-4.074273228e+10,2.218890652e+11
16502400,1083296.535,3241480.389,-1.473147716e+11,-2.680559076e+10,6.550645731e+10,-8.763006772e+10,-4.2806435e+10,2.214919653e+11
16588800,1076811.096,3260496.831,-1.468543479e+11,-2.933493e+10,6.786351403e+10,-8.578557002e+10,-4.486644249e+10,2.21075746e+11
16675200,1070320.04,3279334.493,-1.463505936e+11,-3.185561284e+10,7.016918686e+10,-8.387611503e+10,-4.692257651e+10,2.206404411e+11
16761600,1063828.18,3297994.567,-1.458036763e+11,-3.436689967e+10,7.242169188e+10,-8.190310298e+10,-4.897465912e+10,2.201860862e+11
16848000,1057340.273,3316478.376,-1.45213776e+11,-3.686805425e+10,7.461928161e+10,-7.98679828e+10,-5.102251272e+10,2.197127186e+11
16934400,1050861.025,3334787.372,-1.445810853e+11,-3.935834396e+10,7.676024631e+10,-7.777225126e+10,-5.306596003e+10,2.192203773e+11
17020800,1044395.082,3352923.13,-1.439058091e+11,-4.183704003e+10,7.884291525e+10,-7.561745211e+10,-5.510482411e+10,2.187091028e+11
17107200,1037947.03,3370887.351,-1.431881646e+11,-4.430341769e+10,8.086565803e+10,-7.340517511e+10,-5.71389284e+10,2.181789375e+11
17193600,1031521.386,3388681.857,-1.424283812e+11,-4.675675639e+10,8.282688583e+10,-7.113705513e+10,-5.916809673e+10,2.176299252e+11
17280000,1025122.603,3406308.592,-1.416267004e+11,-4.919634004e+10,8.472505267e+10,-6.881477111e+10,-6.119215331e+10,2.170621118e+11
17366400,1018755.062,3423769.618,-1.407833758e+11,-5.162145715e+10,8.65586566e+10,-6.64400451e+10,-6.321092278e+10,2.164755443e+11
17452800,1012423.066,3441067.114,-1.398986729e+11,-5.403140107e+10,8.8326241e+10,-6.401464114e+10,-6.522423022e+10,2.158702717e+11
